毛刷,ch?i quét máy
美纹胶带,b?ng keo gi?y
米,Mét
米尺,th??c
米数,s? mét
密码,M?t kh?u
棉结,Nút b?ng
明白,hi?u
内在质量,Ch?t l??ng bên trong
年假,Phép n?m
挪批,Di chuy?n l? hàng、chuy?n l?
拍照,ch?p ?nh
判色工,nhan viên chia s?c
培训,?ào t?o
培训记录,Ghi chép ?ào t?o
培训室,phòng ?ào t?o
批差样,30cm
批次号,S? l? hàng
坯布漏验,V?i m?c ki?m sót
坯布样,th? m?u v?i m?c
漂染,x??ng nhu?m
拼件,Ghép hàng
品管部,b? ph?n qu?n ly ch?t l??ng
品种,ch?ng lo?i
破洞,Th?ng l?
启动机器,Kh?i ??ng l?i máy
千,"nghìn, m?t nghìn"
签字,Ky tên
清洁标准,Tiêu chu?n v? sinh
取布样,C?t m?u
取样,C?t m?u
日期,"ngày, ngày tháng"
入库,l?u kho
扫地,quét d?n
色差,Chênh l?ch màu
色号,S? màu
上,Trên
上班,?i làm
上灯,?èn trên
上岗证,th? nhan viên
设备故障,S? c? thi?t b?
设备坏,thi?t b? h?
生病,B?nh
生产部,b? ph?n s?n xu?t
生气,"gi?n, t?c, t?c gi?n"
十,"m??i, s? 10"
食堂,nhà ?n
事假,Ngh? vi?c riêng、phép vi?c riêng
试织,m?u d?t th?
手机,?i?n tho?i
首先验,?u tiên ki?m v?i
受伤,B? th??ng
双经,D?c ??i
睡岗,ng? trong gi? làm vi?c
送布,chuy?n v?i
缩水,Co rút
索赔,Khi?u n?i b?i th??ng
碳带,phim in
特急,G?p
条子,k?
跳线,Nh?y s?i
贴标签,dán tem
铁丝,day k?m
停车,d?ng máy
统计员,th?ng kê viên
拖地,lau d?n
拖鞋,"dép, dép lê"
万,"v?n, m??i nghìn"
万国旗,C? màu
网络,m?ng
微信,wechat
维修,S?a ch?a
纬密,m?t ?? ch? ngang
纬缩,Chùn ngang
纬斜,Ch? ngang nghiêng
卫生,V? sinh
问题,V?n ??
下,D??i
下班,tan làm
消防桶,thùng PCCC
小样工,nhan viên ??u may
姓名,h? tên
休息,"ngh?, ngh? ng?i"
修布,v?i s?a
颜色,Màu s?c
颜色浅,Màu nh?t
颜色深,Màu ??m (Màu t?i)
验布,Ki?m v?i
验布报告,Báo cáo ki?m v?i
验布工,nhan viên ki?m v?i
验布机,máy ki?m v?i
钥匙,Chìa khóa
液压车,xe nang tay
一等,c?p 1
一色,m?t màu
医务室,phòng y t?
椅子、凳子,cái gh?
印花,in hoa
英寸,Inch
荧光,hu?nh quang
右斜,nghiêng ph?i
熨不开,?i kh?ng ra
熨斗,bàn ?i
熨开,?i ra
暂停检查,T?m d?ng ki?m
早班,ca sáng
张力传感器,C?m bi?n s?c c?ng
折皱,H?N G?P
针,kim
整车反馈,Ph?n h?i c? xe
整理,ch?nh ly
整理工艺卡,th? c?ng ngh? ch?nh ly
正反面,Trái ph?i
正确,"chính xác, ?úng"
织布,x??ng d?t
织布车号,s? máy d?t
值班,tr?c ban
纸,gi?y
纸芯,?ng gi?y
质量,Ch?t l??ng
中班,ca ?êm
注意安全,Chú y an toàn
装笼机,Máy ?óng l?ch
装箱,?óng gói
桌子,cái bàn
资料,"tài li?u, t? li?u, h? s?"
组长,t? tr??ng
左斜,nghiêng trái
左中右,trái gi?a ph?i
坯布,v?i m?c
降等,h? c?p
一号色,Màu 1
二号色,Màu 2
红色,Màu ??
黑色,Màu ?en
白色,Màu tr?ng
蓝色,Màu xanh da tr?i
黄色,Màu vàng
绿色,Màu xanh lá
折痕,n?p nh?n
磨痕,H?n ma sát
领布/领用,L?nh v?i/ L?nh dùng
不交货/不可交,Kh?ng giao (hàng)
看布,Xem v?i
电脑密码,M?t kh?u máy tính
搓纬斜,??y ngang nghiêng
捋布,vu?t biên
这个品种是试织吗？,ch?ng lo?i này là m?u d?t th? ph?i kh?ng?
对手感样,??i chi?u xúc c?m
对手织样,??i chi?u m?u d?t tay
找批差,tìm 30cm
做批差,làm 30cm
这个品种多少米？,ch?ng lo?i này bao nhiêu mét
正常生产,s?n xu?t bình th??ng
返工布,v?i ph?n h?i
追加,v?i làm thêm
再加工,v?i làm l?i
错正反面,sai trái ph?i
错倒正,sai hoa v?n
优先安排验布,có v?i ki?m tr??c
拼毯布,v?i d?t th?m
核对颜色,??i chi?u màu s?c
量米数,?o v?i
量纬斜,?o ngang nghiêng
缝百家衣,may c? màu
经纱弯曲,ch? d?c cong
纬纱弯曲,ch? ngang cong
标头,ghi chú ??u c?t
测百度,?o ?? tr?ng
测硬度,?o ?? c?ng
小张力验布,dùng l?c c?ng nh? nh?t ?? ki?m v?i
四面弹面料,v?i co gi?n 4 chi?u
打卷,qu?n tr?c
A架子,giá ch? A
颜色不合格,màu s?c kh?ng ??t
麻丝,s?i ?ai
麻结,nút ?ai
染色不匀,Nhu?m màu kh?ng ??u
纬纤折,n?p nh?n h??ng ngang
乱折,n?p nh?n r?i lo?n
沾污,V?y b?n
PE 膜,b?c PE
暂不验布,v?i kh?ng ???c ki?m
合同量,s? l??ng h?p ??ng
急验,ki?m g?p
了机,h?t tr?c
倒布,x? v?i
张力,s?c c?ng
提明细,l?y chi ti?t
撤明细,rút chi ti?t
复验,rút ki?m
断经,??t d?c
断疵,L?i ??t
断头,??u ??t
筘穿错,Xuyên sai l??c
综穿错,Xuyên sai go
接错,N?i sai
色经,Màu d?c
粗经,D?c th?
经纱打绞,S?i d?c b? chéo
松紧经,D?c c?ng
条影,???ng ?nh
筘路,???ng l??c
油经,D?c d?u
浆纱油,S?i h? d?u
浆斑,??m h?
密路,???ng dày
稀纬,Ngang th?a
缺纬,Thi?u ngang
左中右颜色不符,Trái gi?a ph?i khác màu
杂物,T?p v?t
错格,Sai ?
粗纬,Ngang th?
毛边织入,D?t ?u?i biên
双纬,Ngang ??i
断纬,??t ngang
脱纬,Tu?t ngang
云织,D?t may
色档,???ng màu
油纬,Ngang d?u
毛羽,T? ngang
百脚,Tr?m chan
色纬,Ch? ngang màu
错纬,Sai ngang
错花型,Sai hoa v?n
张力不匀,L?c c?ng kh?ng ??u
星跳,Nh?y sao
跳纱,Nh?y s?i
油渍,V?y d?u
竹节,??t trúc
结头,??u th?t
棉球,C?u b?ng
滑脱,L?I TU?I
沾色,Dính màu
长毛边,L?ng biên dài
破边,Th?ng biên
豁边,S?t biên
烂边,Rách biên
边撑疵,L?i ch?ng biên
紧边,Biên ch?t
松边,L?ng biên
跳花,Nh?y hoa
辫子纱,S?i th?t bím
煤灰纱,S?i xám tro
条干,?i?u cán
异纤,T? khác màu
飞花,B?ng bay
泡泡纱,S?i b?ng b?ng
烧毛不净,Cháy l?ng kh?ng s?ch
撕破,Xé rách
绞边纱脱落,"S?i xo?n biên b? 
tu?t"
压痕,H?n ép
沉纱,S?i chìm
色泽排列错,S?p s?p sai màu s?c
筘路(空筘),???ng l??c
针路,???ng kim
错经,Sai s?i d?c
经错花,H??ng d?c sai hoa v?n
条花,???ng hoa
皱条,???ng n?p (??c tr?ng c?a lo?i v?i ?ánh nh?n (d?c)
拆痕,N?p g?p
条干不匀,?i?u cán kh?ng ?i?u
叠节,Nút ch?p
错花,Sai hoa v?n
歇梭(停车档),V?t d?ng máy
扭结纬缩,chùn ngang d?t vào m?t v?i
起圈纬缩,chùn ngang n?i trên m?t v?i
杂物织入,t?p v?t d?t vào m?t v?i
皱档,???ng n?p (??c tr?ng c?a lo?i v?i ?ánh nh?n (ngang)
搔损(修痕),V?t s?a v?i
污渍,V?t ?
绣渍,V?t r? sét
搭色,L?n màu
卷边,cu?n biên
针眼边,l? kim ? biên
损伤布底的搔损,V?t x??c m?t trái
轧梭,V?t x??c con thoi
异色纤维织入,D?t s?i có màu s?c khác nhau
稀密路,???ng dày ngang th?a
疵点分类,Phan lo?i ?i?m l?i
偷东西,?n tr?m
阻挡,ch?n
纬色差,MàU NGANG CHêNH L?CH
包装,?óng gói
按照标准验布,ki?m v?i theo tiêu chu?n
整车倒回,x? v?i
整车,x? v?i
光敏变色,bi?n màu do ánh sáng
落布折,n?p nh?n xu?ng v?i
成品交货率,T? l? thành ph?m giao hàng
